"","reason","nsnp"
"1374","Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid) (unit increase)",2
"1375","Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid) (unit increase) (unit increase)",2
"1376","Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid) (Conditioned on rs16966952) (unit increase)",1
"1377","Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid) (Conditioned on rs174547) (unit increase)",1
"1378","Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid) (unit increase)",3
"1379","Plasma plasminogen activator levels (unit increase)",4
"1380","Plasma plasminogen levels (Conditioned on rs4252129 and rs1084651) (unit increase)",1
"1381","Plasma plasminogen levels (unit increase)",3
"1382","Plasma renin activity levels (NA)",2
"1383","Plasma thyroid-stimulating hormone levels (uIU/L increase)",2
"1384","Plasminogen activator inhibitor type 1 levels (PAI-1) (unit increase)",3
"1385","Platelet aggregation (epinephrine) (NA)",2
"1386","Platelet count (10^9/l increase) (10^9/l increase)",53
"1387","Platelet count (unit increase) (unit increase)",11
"1388","Pneumoconiosis in silica exposure (NA)",1
"1389","Polycystic ovary syndrome (NA)",13
"1390","Post-traumatic stress disorder (asjusted for relatedness) (Whole cohort; EA) (NA)",1
"1391","Post-traumatic stress disorder (NA)",1
"1392","Post-traumatic stress disorder (Whole cohort; EA) (NA)",1
"1393","Primary biliary cirrhosis (NA)",27
"1394","Primary sclerosing cholangitis (NA)",2
"1395","Primary tooth development (number of teeth) (unit increase) (unit increase)",11
"1396","Primary tooth development (number of teeth) (% variance) (% variance)",4
"1397","Primary tooth development (time to first tooth eruption) (unit increase) (unit increase)",10
"1398","Primary tooth development (time to first tooth eruption) (% variance) (% variance)",3
"1399","PR interval in Tripanosoma cruzi seropositivity (NA)",5
"1400","PR interval (ms increase) (ms increase)",9
"1401","PR interval (unit increase) (Conditional) (unit increase)",2
"1402","PR interval (unit increase) (unit increase)",12
"1403","Progranulin levels (ng/ml increase)",1
"1404","Progressive supranuclear palsy (controlling for rs7571971) (NA)",1
"1405","Progressive supranuclear palsy (controlling for rs8070723) (NA)",1
"1406","Progressive supranuclear palsy (NA)",5
"1407","Proinsulin levels (NA)",9
"1408","Prostate cancer (All) (NA)",1
"1409","Prostate cancer (conditioned on rs9364554) (NA)",1
"1410","Prostate cancer (EA, early-onset) (NA)",1
"1411","Prostate cancer (EA) (NA)",9
"1412","Prostate cancer (early onset) (NA)",3
"1413","Prostate cancer (Japanese and Latin American) (NA)",1
"1414","Prostate cancer (Japanese) (NA)",2
"1415","Prostate cancer (NA)",93
"1416","Prostate cancer (unit increase) (unit increase)",4
"1417","Prostate-specific antigen levels (% increase) (% increase)",5
"1418","Prostate-specific antigen levels (unit increase) (unit increase)",7
"1419","Protein biomarker (unit increase)",1
"1420","Protein C levels (ug/ml increase) (ug/ml increase)",4
"1421","Protein C levels (unit increase) (Conditioned on rs7580658 and rs1799808) (unit increase)",2
"1422","Protein C levels (unit increase) (unit increase)",1
"1423","Protein quantitative trait loci (Alkaline phosphatase) (NA)",1
"1424","Protein quantitative trait loci (Ft3) (NA)",1
"1425","Protein quantitative trait loci (IL18) (NA)",1
"1426","Protein quantitative trait loci (LPA) (NA)",1
"1427","Protein quantitative trait loci (MIPb) (NA)",1
"1428","Protein quantitative trait loci (sIL-6R) (NA)",1
"1429","Protein quantitative trait loci (Soluble transferrin receptor) (NA)",1
"1430","Prothrombin time (unit increase)",2
"1431","PR segment (unit increase)",8
"1432","Psoriasis (NA)",31
"1433","Psoriatic arthritis (NA)",4
"1434","Psychosis and Alzheimer's disease (NA)",1
"1435","Pubertal anthropometrics (Late pubertal growth) (unit increase)",1
"1436","Pubertal anthropometrics (Pubertal growth, females) (unit increase)",1
"1437","Pubertal anthropometrics (Pubertal growth) (unit increase)",1
"1438","Pubertal anthropometrics (Single Height) (unit increase)",1
"1439","Puberty onset (genital enlargement) (unit increase)",1
"1440","Puberty onset (unit increase)",1
"1441","Pulmonary arterial hypertension (without BMPR2 mutations) (NA)",1
"1442","Pulmonary artery enlargement and chronic obstructive pulmonary disease (NA)",1
"1443","Pulmonary artery enlargement in chronic obstructive pulmonary disease (NA)",2
"1444","Pulmonary emphysema (Chinese) (unit increase)",2
"1445","Pulmonary emphysema (Hispanic) (unit increase)",1
"1446","Pulmonary function (FEV1/FVC) (NA)",1
"1447","Pulmonary function (% increase) (% increase)",4
"1448","Pulmonary function (% increase in FEV1/FVC ratio) (% increase in FEV1/FVC ratio)",1
"1449","Pulmonary function (interaction) (FEV1, Ever-smoking) (NA)",2
"1450","Pulmonary function (interaction) (FEV1/FVC, Ever-smoking) (NA)",8
"1451","Pulmonary function (interaction) (FEV1/FVC, Pack-years) (NA)",6
"1452","Pulmonary function (interaction) (unit increase) (FEV1, Ever-smoking) (unit increase)",1
"1453","Pulmonary function (interaction) (unit increase) (FEV1/FVC, Ever-smoking) (unit increase)",1
"1454","Pulmonary function (interaction) (unit increase) (FEV1/FVC, Pack-years) (unit increase)",1
"1455","Pulmonary function (ml increase) (ml increase)",1
"1456","Pulmonary function (s.d. increase) (FEV1/FVC) (s.d. increase)",3
"1457","Pulmonary function (s.d. increase) (FEV1) (s.d. increase)",3
"1458","Pulmonary function (unit increase) (FEV1/FVC) (unit increase)",13
"1459","Pulmonary function (unit increase) (FEV1) (unit increase)",3
"1460","P wave duration (unit increase)",3
"1461","QRS duration (ms increase) (ms increase)",12
"1462","QRS duration (unit increase) (unit increase)",3
"1463","QT interval (msec increase) (msec increase)",9
"1464","QT interval (ms increase) (ms increase)",10
"1465","QT interval (NA)",1
"1466","QT interval (unit increase) (unit increase)",72
"1467","Quantitative traits (mg/dL increase) (TG) (mg/dL increase)",1
"1468","Reading or mathematical ability (unit increase)",1
"1469","Recombination measurement (African-enrichment) (NA)",2
"1470","Recombination measurement (females) (NA)",1
"1471","Recombination measurement (Hotspot usage) (NA)",1
"1472","Recombination measurement (males) (NA)",1
"1473","Recombination rate (females) (cM increase)",1
"1474","Recombination rate (males) (cM increase)",1
"1475","Red blood cell count (unit increase)",8
"1476","Red blood cell fatty acid levels (AA) (unit increase)",2
"1477","Red blood cell fatty acid levels (ALA) (unit increase)",1
"1478","Red blood cell fatty acid levels (DGLA) (unit increase)",1
"1479","Red blood cell fatty acid levels (DPA-n3) (unit increase)",1
"1480","Red blood cell fatty acid levels (DTA) (unit increase)",1
"1481","Red blood cell fatty acid levels (GLA) (unit increase)",1
"1482","Red blood cell fatty acid levels (LA) (unit increase)",2
"1483","Red blood cell fatty acid levels (OA) (unit increase)",3
"1484","Red blood cell traits (d/dL increase) (d/dL increase)",1
"1485","Red blood cell traits (g/dL increase) (Hgb, AA) (g/dL increase)",1
"1486","Red blood cell traits (g/dL increase) (MCHC, AA) (g/dL increase)",1
"1487","Red blood cell traits (% increase) (Ht, AA) (% increase)",1
"1488","Red blood cell traits (NA)",1
"1489","Red blood cell traits (pg increase) (MCH, AA) (pg increase)",2
"1490","Red blood cell traits (pg increase) (MCH) (pg increase)",1
"1491","Red blood cell traits (unit increase) (EA, Hgb) (unit increase)",4
"1492","Red blood cell traits (unit increase) (EA, MCHC) (unit increase)",2
"1493","Red blood cell traits (unit increase) (EA, MCH) (unit increase)",10
"1494","Red blood cell traits (unit increase) (EA, MCV) (unit increase)",16
"1495","Red blood cell traits (unit increase) (EA, PCV) (unit increase)",2
"1496","Red blood cell traits (unit increase) (EA, RBCC) (unit increase)",5
"1497","Red blood cell traits (unit increase) (EA, RBCC\) (unit increase)",1
"1498","Red blood cell traits (unit increase) (Hgb) (unit increase)",1
"1499","Red blood cell traits (unit increase) (MCHC) (unit increase)",2
"1500","Red blood cell traits (unit increase) (MCH) (unit increase)",4
"1501","Red blood cell traits (unit increase) (MCV) (unit increase)",1
"1502","Red blood cell traits (unit increase) (PCV) (unit increase)",1
"1503","Red blood cell traits (unit increase) (RBC count) (unit increase)",1
"1504","Red blood cell traits (x10^6/uL, increase) (x10^6/uL, increase)",1
"1505","Red vs non-red hair color (NA)",1
"1506","Refractive astigmatism (EA, 25 years or older) (NA)",1
"1507","Refractive error (diopter increase) (diopter increase)",2
"1508","Refractive error (unit increase) (unit increase)",25
"1509","Relative hand skill in reading disability (unit increase)",1
"1510","Renal cell carcinoma (NA)",5
"1511","Renal cell carcinoma (Western European) (NA)",2
"1512","Renal function and chronic kidney disease (ml/min/1.73m2 increase) (ml/min/1.73m2 increase)",3
"1513","Renal function-related traits (BUN) (mg/dl increase)",13
"1514","Renal function-related traits (eGRFcrea) (ml/min/1.73m2 increase)",7
"1515","Renal function-related traits (sCR) (mg/dl increase)",8
"1516","Renal function-related traits (urea) (mg/dl increase)",4
"1517","Renal transplant outcome (unit increase)",1
"1518","Resistin levels (unit increase) (unit increase)",2
"1519","Response to alcohol consumption (flushing response) (unit increase)",1
"1520","Response to antidepressants (unit increase) (nortriptyline) (unit increase)",1
"1521","Response to antipsychotic therapy (extrapyramidal side effects) (SAS) (NA)",1
"1522","Response to antipsychotic treatment (Effect of Quetiapine on PGI) (NA)",1
"1523","Response to antipsychotic treatment (Effect of Risperidone on CGI-S) (NA)",1
"1524","Response to antipsychotic treatment (olanzapine-hemoglobin A1c\) (NA)",1
"1525","Response to antipsychotic treatment (risperidone-hip circumference) (NA)",1
"1526","Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy) (Hispanic) (NA)",1
"1527","Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy) (EA) (NA)",4
"1528","Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy) (Hispanic) (NA)",4
"1529","Response to bleomycin (chromatid breaks) (unit increase)",1
"1530","Response to citalopram treatment (EA + AA - Vision\hearing) (NA)",1
"1531","Response to clopidogrel therapy (NA)",1
"1532","Response to Dalcetrapib treatment in acute coronary syndrome (NA)",1
"1533","Response to fenofibrate (VLDL diameter) (unit increase)",1
"1534","Response to gemcitabine in pancreatic cancer (NA)",1
"1535","Response to hepatitis C treatment (Change in Hb) (NA)",1
"1536","Response to hepatitis C treatment (Change of Hb) (NA)",1
"1537","Response to hepatitis C treatment (combined, EA) (NA)",1
"1538","Response to hepatitis C treatment (NA)",1
"1539","Response to inhaled glucocorticoid treatment in asthma (percentage change of FEV1) (NA)",2
"1540","Response to interferon beta therapy (unit increase)",2
"1541","Response to metformin in type 2 diabetes (glycemic) (NA)",1
"1542","Response to metformin (NA)",1
"1543","Response to radiotherapy in cancer (late toxicity) (unit increase) (Prostate cancer, rectal incontinence, univariable analysis) (unit increase)",1
"1544","Response to radiotherapy in prostate cancer (toxicity) (unit increase)",1
"1545","Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels) (S-DCT/S-CT ratio, adjusted for CYP2C19) (NA)",1
"1546","Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels) (S-DCT/S-CT ratio) (NA)",1
"1547","Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels) (S-DDCT concentration) (NA)",2
"1548","Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels) (S-DDCT/S-DCT ratio) (NA)",1
"1549","Response to statins (LDL cholesterol change) (unit increase)",2
"1550","Response to statin therapy (chol, diff) (NA)",1
"1551","Response to statin therapy (HDL, sum) (NA)",1
"1552","Response to statin therapy (LDL-C) (% increase) (% increase)",2
"1553","Response to statin therapy (LDL-C) (mg/dL increase) (baseline LDL-C) (mg/dL increase)",2
"1554","Response to statin therapy (mmol/L increase) (mmol/L increase)",1
"1555","Response to statin therapy (NA)",1
"1556","Response to tamoxifen in breast cancer (NA)",1
"1557","Response to temozolomide (NA)",1
"1558","Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine) (NA)",1
"1559","Response to tocilizumab in rheumatoid arthritis (CSJC , EA, RF-) (unit increase)",1
"1560","Response to Vitamin E supplementation (mg/L increase) (mg/L increase)",1
"1561","Resting heart rate (ms increase) (ms increase)",8
"1562","Resting heart rate (ms increase) \(Random effects analysis\) (ms increase)",1
"1563","Resting heart rate (NA)",2
"1564","Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry) (unit increase)",1
"1565","Restless legs syndrome (NA)",9
"1566","Retinal arteriolar caliber (unit increase)",2
"1567","Retinal vascular caliber (um increase)",4
"1568","Retinol levels (ug/L increase)",2
"1569","Rheumatoid arthritis (ACPA+ cases vs. all controls) (NA)",5
"1570","Rheumatoid arthritis (ACPA-negative) (NA)",2
"1571","Rheumatoid arthritis (ACPA-positive RA vs ACPA-negative RA) (NA)",2
"1572","Rheumatoid arthritis (ACPA-positive RA vs controls) (NA)",1
"1573","Rheumatoid arthritis (EA) (NA)",25
"1574","Rheumatoid arthritis (East Asian) (NA)",2
"1575","Rheumatoid arthritis (NA)",92
"1576","Ribavirin-induced anemia (NA)",1
"1577","RR interval (heart rate) (unit increase)",1
"1578","Sagittal craniosynostosis (NA)",2
"1579","Sarcoidosis (Chronic) (NA)",1
"1580","Sarcoidosis (NA)",1
"1581","Schizophrenia, bipolar disorder and depression (combined) (NA)",1
"1582","Schizophrenia (EA) (NA)",2
"1583","Schizophrenia (NA)",134
"1584","Schizophrenia or bipolar disorder (SCZ or BP vs. controls) (NA)",6
"1585","Schizophrenia, schizoaffective disorder or bipolar disorder (NA)",4
"1586","Sclerosing cholangitis and ulcerative colitis (combined) (NA)",2
"1587","Scoliosis (NA)",2
"1588","Select biomarker traits (CRP average 2,6,7) (NA)",1
"1589","Select biomarker traits (MCP1) (NA)",2
"1590","Self-reported allergy (unit increase)",15
"1591","Sensory disturbances after bilateral sagittal split ramus osteotomy (Hypoesthesia, Recessive) (NA)",1
"1592","Serum albumin level (NA)",1
"1593","Serum albumin level (unit increase) (EA) (unit increase)",1
"1594","Serum albumin level (unit increase) (unit increase)",5
"1595","Serum alkaline phosphatase levels (U/L increase)",3
"1596","Serum ceruloplasmin levels (mg/dl increase)",1
"1597","Serum dimethylarginine levels (asymmetric/symetric ratio) (unit increase)",2
"1598","Serum ferritin levels (unit increase)",1
"1599","Serum IgA levels (g/l increase)",1
"1600","Serum lipase activity (unit increase)",2
"1601","Serum metabolite levels (3-hydroxydecanoate) (unit increase)",1
"1602","Serum metabolite levels (Acetylcarnitine) (unit increase)",1
"1603","Serum metabolite levels (Aspartylphenylalanine) (unit increase)",1
"1604","Serum metabolite levels (Biliverdin) (unit increase)",1
"1605","Serum metabolite levels (Creatine) (unit increase)",1
"1606","Serum metabolite levels (Deoxycarnitine) (unit increase)",1
"1607","Serum metabolite levels (Hexadecanedioate) (unit increase)",1
"1608","Serum metabolite levels (HXGXA) (unit increase)",1
"1609","Serum metabolite levels (N-acetylornithine) (unit increase)",1
"1610","Serum metabolite levels (N-acetylphenylalanine) (unit increase)",1
"1611","Serum metabolite levels (Palmitoleate (16:1n7)) (unit increase)",1
"1612","Serum metabolite levels (Phenylacetate) (unit increase)",1
"1613","Serum metabolite levels (Trehalose) (unit increase)",1
"1614","Serum prostate-specific antigen levels (% increase) (% increase)",6
"1615","Serum prostate-specific antigen levels (NA)",1
"1616","Serum protein levels (sST2) (unit increase) (unit increase)",11
"1617","Serum thyroid-stimulating hormone levels (unit increase) (EA) (unit increase)",1
"1618","Serum thyroid-stimulating hormone levels (unit increase) (unit increase)",2
"1619","Serum total protein level (unit increase)",3
"1620","Serum uric acid levels (NA)",1
"1621","Serum uric acid levels (s.d. increase) (s.d. increase)",1
"1622","Serum uric acid levels (unit increase) (unit increase)",4
"1623","Serum VEGFR2 concentration (ng/mL increase)",1
"1624","Serum vitamin D-binding protein levels (nmol/L increase)",2
"1625","Sex hormone-binding globulin levels (nmol/L increase) (Men + Women) (nmol/L increase)",2
"1626","Sex hormone-binding globulin levels (umol/L increase) (Men) (umol/L increase)",2
"1627","Sex hormone-binding globulin levels (umol/L increase) (Men + Women) (umol/L increase)",7
"1628","Sex hormone-binding globulin levels (unit increase) (Men + Women, Conditional) (unit increase)",3
"1629","Sex hormone-binding globulin levels (unit increase) (unit increase)",1
"1630","Sexual dimorphism in anthropometric traits (WHRadjBMI, women) (NA)",3
"1631","Sickle cell anemia (haemolysis) (unit increase) (unit increase)",3
"1632","Sitting height ratio (EA) (unit increase)",1
"1633","Sitting height ratio (unit increase)",2
"1634","Sjögren's syndrome (NA)",5
"1635","Skin pigmentation (NA)",3
"1636","Skin sensitivity to sun (NA)",1
"1637","Sleep duration (EA) (unit increase)",1
"1638","Sleep duration (unit increase)",1
"1639","Sleep-related phenotypes (Sleepiness) (NA)",1
"1640","Smoking behavior (CPD increase) (CPD) (CPD increase)",3
"1641","Smoking behavior (CPD increase) (CPD increase)",2
"1642","Smoking behavior (smoking cessation) (NA)",1
"1643","Smoking behavior (smoking initiation) (NA)",1
"1644","Smoking behavior (unit increase) (CPD) (unit increase)",1
"1645","Smoking behavior (unit increase) (unit increase)",1
"1646","Social communication problems (Age 17) (unit increase)",1
"1647","Soluble E-selectin levels (NA)",1
"1648","Soluble ICAM-1 (ng/mL increase) (ng/mL increase)",2
"1649","Soluble ICAM-1 (umol/L increase) (umol/L increase)",1
"1650","Soluble leptin receptor levels (% increase)",1
"1651","Soluble levels of adhesion molecules (ICAM) (% increase)",2
"1652","Soluble levels of adhesion molecules (P-Selectin) (% increase)",3
"1653","Sphingolipid levels (% increase) (levels) (% increase)",8
"1654","Sphingolipid levels (% increase) (proportions) (% increase)",2
"1655","Sphingolipid levels (mol % increase) (SM 14:0Mol%) (mol % increase)",1
"1656","Sphingolipid levels (unit increase) (GluCer) (unit increase)",1
"1657","Sphingolipid levels (unit increase) (SM 16:1) (unit increase)",1
"1658","Spontaneous preterm birth (preterm birth) (NA)",1
"1659","Sporadic pituitary adenoma (NA)",1
"1660","Squamous cell carcinoma (NA)",1
"1661","Stearic acid (18:0) plasma levels (unit increase)",5
"1662","Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN) (NA)",1
"1663","Stroke (ischemic) (CS) (NA)",2
"1664","Stroke (ischemic) (LVD) (NA)",1
"1665","Stroke (ischemic) (NA)",1
"1666","Stroke (LVD) (NA)",1
"1667","Stroke (NA)",1
"1668","Subcortical brain region volumes (mm3 increase) (Caudate, EA) (mm3 increase)",1
"1669","Subcortical brain region volumes (mm3 increase) (Hippocampus, EA) (mm3 increase)",2
"1670","Subcortical brain region volumes (mm3 increase) (Intracranial volume, EA) (mm3 increase)",1
"1671","Subcortical brain region volumes (mm3 increase) (Putamen, EA) (mm3 increase)",4
"1672","Subcortical brain region volumes (unit increase) (Hippocampus, EA) (unit increase)",1
"1673","Subcortical brain region volumes (unit increase) (Intracranial volume, EA) (unit increase)",1
"1674","Sudden cardiac arrest (NA)",1
"1675","Sudden cardiac arrest (Recessive) (NA)",12
"1676","Sunburns (unit increase)",2
"1677","Superior frontal gyrus grey matter volume (Right superior frontal gyrus) (unit increase)",1
"1678","Symmetrical dimethylarginine levels (unit increase)",4
"1679","Systemic lupus erythematosus and Systemic sclerosis (ACA) (NA)",1
"1680","Systemic lupus erythematosus and Systemic sclerosis (lcSSc) (NA)",1
"1681","Systemic lupus erythematosus and Systemic sclerosis (NA)",9
"1682","Systemic lupus erythematosus (anti-dsDNA -) (NA)",1
"1683","Systemic lupus erythematosus (anti-dsDNA +) (NA)",3
"1684","Systemic lupus erythematosus (NA)",54
"1685","Systemic sclerosis (ACA positive) (NA)",2
"1686","Systemic sclerosis (ATA positive) (NA)",4
"1687","Systemic sclerosis (IcSSc) (NA)",1
"1688","Systemic sclerosis (NA)",7
"1689","Systolic blood pressure (alcohol consumption interaction) (drinks/week) (unit increase)",1
"1690","Systolic blood pressure (mm Hg increase) (mm Hg increase)",6
"1691","Systolic blood pressure (mmHg increase) (mmHg increase)",18
"1692","Systolic blood pressure (unit increase) (unit increase)",10
"1693","Tanning (tanning ability score increase) (tanning ability score increase)",5
"1694","Tanning (unit increase) (unit increase)",5
"1695","Telomere length (kb increase) (kb increase)",1
"1696","Telomere length (unit increase) (unit increase)",9
"1697","Temperament (bipolar disorder) (Hyperthymic) (unit increase)",2
"1698","Temperament (bipolar disorder) (Irritable) (unit increase)",1
"1699","Testicular cancer (NA)",3
"1700","Testicular germ cell cancer (NA)",6
"1701","Testicular germ cell tumor (NA)",19
"1702","Testosterone levels (ng/dl increase) (ng/dl increase)",2
"1703","Tetralogy of Fallot (NA)",2
"1704","Thiazide-induced adverse metabolic effects in hypertensive patients (AA-triglyceride response) (mg/dL increase)",1
"1705","Thoracic aortic aneurysms and dissections (NA)",1
"1706","Thrombin generation potential phenotypes (min increase) (min increase)",1
"1707","Thrombin generation potential phenotypes (nM increase) (nM increase)",1
"1708","Thrombin generation potential phenotypes (nM/min increase) (nM/min increase)",1
"1709","Thyroid cancer (NA)",6
"1710","Thyroid cancer (Papillary, radiation-related) (NA)",1
"1711","Thyroid function (unit increase)",4
"1712","Thyroid hormone levels (FT4-Females) (unit increase)",1
"1713","Thyroid hormone levels (FT4) (unit increase)",4
"1714","Thyroid hormone levels (TSH - Males) (unit increase)",1
"1715","Thyroid hormone levels (TSH) (unit increase)",18
"1716","Thyroid peroxidase antibody levels (unit increase)",3
"1717","Thyroid peroxidase antibody positivity (NA)",4
"1718","Thyroid stimulating hormone (uIU/ml increase) (uIU/ml increase)",1
"1719","Thyroid volume (NA)",3
"1720","Thyroid volume (unit increase) (unit increase)",3
"1721","Thyrotoxic hypokalemic periodic paralysis (NA)",2
"1722","Toenail selenium levels (unit increase)",3
"1723","Total bilirubin levels in HIV-1 infection (unit increase)",9
"1724","Tourette syndrome (NA)",1
"1725","Trans fatty acid levels (Cis/trans-18:2, EA) (unit increase)",31
"1726","Trans fatty acid levels (Trans/trans-18:2, EA) (unit increase)",1
"1727","Triglycerides-Blood Pressure (TG-BP) (unit increase)",6
"1728","Triglycerides (% increase) (% increase)",3
"1729","Triglycerides (increase) (increase)",1
"1730","Triglycerides (mg/dl increase) (mg/dl increase)",5
"1731","Triglycerides (mg/dL increase) (mg/dL increase)",49
"1732","Triglycerides (NA)",10
"1733","Triglycerides (percentage SD increase) (percentage SD increase)",4
"1734","Triglycerides (s.d. increase) (s.d. increase)",11
"1735","Triglycerides (unit increase) (AA) (unit increase)",3
"1736","Triglycerides (unit increase) (Hispanic) (unit increase)",1
"1737","Triglycerides (unit increase) (unit increase)",7
"1738","Triglycerides (% variance) (HDL) (% variance)",1
"1739","Triglycerides (% variance) (LDL) (% variance)",1
"1740","Tuberculosis (binary model) (NA)",1
"1741","Tuberculosis (NA)",3
"1742","Tumor biomarkers (ng/ml increase) (AFP) (ng/ml increase)",2
"1743","Tumor biomarkers (ng/ml increase) (CEA) (ng/ml increase)",3
"1744","Tumor biomarkers (U/ml increase) (U/ml increase)",4
"1745","Two-hour glucose challenge (mmol/L increase)",3
"1746","Type 1 diabetes and autoimmune thyroid diseases (NA)",6
"1747","Type 1 diabetes autoantibodies (I-A2A) (NA)",1
"1748","Type 1 diabetes autoantibodies (T1D) (NA)",16
"1749","Type 1 diabetes (NA)",52
"1750","Type 1 diabetes nephropathy (ESRD vs. non-ESRD) (NA)",2
"1751","Type 2 diabetes (AA) (NA)",1
"1752","Type 2 diabetes and other traits (NA)",4
"1753","Type 2 diabetes (DGI+FUSION+WTCCC) (NA)",2
"1754","Type 2 diabetes (East Asian) (NA)",1
"1755","Type 2 diabetes (Indian) (NA)",1
"1756","Type 2 diabetes (Lean) (NA)",1
"1757","Type 2 diabetes (NA)",106
"1758","Type 2 diabetes (obese) (NA)",1
"1759","Type 2 diabetes (Obese) (NA)",2
"1760","Type 2 diabetes (Punjabi Sikhs) (NA)",1
"1761","Type 2 diabetes (South Asian, East Asian, Europeans) (NA)",1
"1762","Ulcerative colitis (Analysis III) (NA)",1
"1763","Ulcerative colitis (NA)",89
"1764","Ulcerative colitis or Crohn's disease (NA)",2
"1765","Upper aerodigestive tract cancers (NA)",4
"1766","Urate levels in lean individuals (kg/m2 increase)",1
"1767","Urate levels in lean individuals (Men) (kg/m2 increase)",2
"1768","Urate levels in lean individuals (Women) (kg/m2 increase)",1
"1769","Urate levels in obese individuals (kg/m2 increase)",1
"1770","Urate levels in obese individuals (women) (kg/m2 increase)",1
"1771","Urate levels in overweight individuals (kg/m2 increase)",3
"1772","Urate levels in overweight individuals (men) (kg/m2 increase)",3
"1773","Urate levels in overweight individuals (women) (kg/m2 increase)",1
"1774","Urate levels (mg/dl increase) (AA) (mg/dl increase)",4
"1775","Urate levels (mg/dl increase in uric acid) (mg/dl increase in uric acid)",1
"1776","Urate levels (mg/dl increase) (mg/dl increase)",29
"1777","Urate levels (mg/dl increase) (network) (mg/dl increase)",2
"1778","Urate levels (SD increase in serum uric acid level) (SD increase in serum uric acid level)",2
"1779","Urate levels (uM increase in uric acid) (uM increase in uric acid)",1
"1780","Urate levels (umol/l increase) (umol/l increase)",6
"1781","Urate levels (unit increase) (unit increase)",5
"1782","Uric acid levels (mg/dl increase in uric serum levels) (mg/dl increase in uric serum levels)",1
"1783","Uric acid levels (mg/dl increase) (men) (mg/dl increase)",1
"1784","Uric acid levels (mg/dl increase) (mg/dl increase)",7
"1785","Uric acid levels (mg/dl increase) (women) (mg/dl increase)",1
"1786","Uric acid levels (NA)",1
"1787","Uric acid levels (Non-obese) (NA)",1
"1788","Uric acid levels (umol/L increase) (umol/L increase)",1
"1789","Uric acid levels (unit increase) (unit increase)",1
"1790","Urinary albumin excretion (CKDGen) (CKDGen)",1
"1791","Urinary bladder cancer (NA)",3
"1792","Urinary metabolites (2-Hydroxyisobutyrate concentration) (NA)",1
"1793","Urinary metabolites (3-Aminoisobutyrate concentration) (NA)",1
"1794","Urinary metabolites (Alanine/N,N-dimethylglycine ratio) (NA)",1
"1795","Urinary metabolites (Formate/succinate ratio) (NA)",1
"1796","Urinary metabolites (H-NMR features) (0.8475, Unknown) (unit increase)",1
"1797","Urinary metabolites (H-NMR features) (0.8875, Unknown) (unit increase)",1
"1798","Urinary metabolites (H-NMR features) (1.2025, Aminoisobutyrate) (unit increase)",2
"1799","Urinary metabolites (H-NMR features) (1.2575, Fucose) (unit increase)",1
"1800","Urinary metabolites (H-NMR features) (1.3625, 2-Hydroxyisobutyrate) (unit increase)",1
"1801","Urinary metabolites (H-NMR features) (1.6975, N-Acetylated compunds) (unit increase)",1
"1802","Urinary metabolites (H-NMR features) (1.8025, Unknown) (unit increase)",1
"1803","Urinary metabolites (H-NMR features) (2.0375, N-Acetylated compunds) (unit increase)",1
"1804","Urinary metabolites (H-NMR features) (2.1875, Unknown) (unit increase)",1
"1805","Urinary metabolites (H-NMR features) (2.8575, Trimethylamine) (unit increase)",1
"1806","Urinary metabolites (H-NMR features) (2.8725, Trimethylamine) (unit increase)",1
"1807","Urinary metabolites (H-NMR features) (2.8825, Trimethylamine) (unit increase)",1
"1808","Urinary metabolites (H-NMR features) (3.0275, Aminoisobutyrate) (unit increase)",1
"1809","Urinary metabolites (H-NMR features) (3.0325, Lysine) (unit increase)",1
"1810","Urinary metabolites (H-NMR features) (3.0925, Aminoisobutyrate) (unit increase)",1
"1811","Urinary metabolites (H-NMR features) (5.1825, Unknown) (unit increase)",1
"1812","Urinary metabolites (H-NMR features) (5.2125, Fucose) (unit increase)",1
"1813","Urinary metabolites (H-NMR features) (5.2625, Unknown) (unit increase)",1
"1814","Urinary metabolites (Lysine/valine ratio) (NA)",1
"1815","Urinary uromodulin levels (unit increase)",3
"1816","Uterine fibroids (NA)",3
"1817","Vascular dementia (NA)",1
"1818","Vascular endothelial growth factor levels (NA)",4
"1819","Vaspin levels (unit increase)",1
"1820","Venous thromboembolism (NA)",17
